% structure for data mining single hand sign language gestures
@relation SingleHandGestures
@attribute 'NoHands' numeric
@attribute 'thumb_angle' numeric
@attribute 'index_angle' numeric
@attribute 'middle_angle' numeric
@attribute 'ring_angle' numeric
@attribute 'pinky_angle' numeric
@attribute 'Dist_thumb_index' numeric
@attribute 'Dist_thumb_middle' numeric
@attribute 'Dist_thumb_ring' numeric
@attribute 'Dist_thumb_pinky' numeric
@attribute 'Dist_index_middle' numeric
@attribute 'Dist_index_ring' numeric
@attribute 'Dist_index_pinky' numeric
@attribute 'Dist_middle_ring' numeric
@attribute 'Dist_middle_pinky' numeric
@attribute 'Dist_ring_pinky' numeric
@attribute 'class' {c,g,bad,ok}
@data
1, 0.2603395, 0.746485, 0.7671705, 0.7652849, 0.03463596,46.22692,47.39442,41.31357,81.51464,7.24576,21.52565,111.9842,15.9202,110.2704,97.67696,?
1, 0.2423701, 0.7376993, 0.7700136, 0.7635326, 0.04507345,46.79081,47.66195,44.06664,80.25761,7.901746,21.57055,111.5426,14.62086,108.7658,97.73426,?
1, 0.2705531, 0.7625511, 0.7701274, 0.7622452, 0.03010219,43.50993,44.79601,39.55774,82.69372,7.560966,21.32631,111.5905,15.49065,110.4397,98.60566,?
1, 0.3098031, 0.7631468, 0.7682486, 0.7644483, 0.02058822,42.23877,43.70254,37.50877,83.64426,7.413624,21.0109,112.2158,15.63136,111.382,99.30904,?
1, 0.2302397, 0.7385308, 0.7742331, 0.7580696, 0.04228461,48.14091,48.63198,43.95645,80.6965,8.685059,22.97427,112.6396,15.31569,108.9396,97.26607,?
1, 0.2554138, 0.7626122, 0.7741854, 0.7668517, 0.06252837,45.89349,49.87233,51.71559,68.35876,6.18877,17.85448,97.09547,14.0788,99.26873,91.63348,?
1, 0.08538091, 0.3456363, 0.7865233, 0.8084309, 0.807062,20.55037,53.85218,71.48153,81.38093,68.67057,84.83862,92.30471,19.65254,33.84471,16.02002,?
1, 0.1104897, 0.5304204, 0.8315197, 0.8360322, 0.8224648,29.64218,60.75681,71.89324,79.09719,84.20751,92.7695,96.21263,14.11185,27.97043,15.00134,?
1, 0.09644783, 0.06197667, 0.8354093, 0.8336613, 0.8309734,39.95457,61.56297,72.49312,79.79902,97.52707,105.9847,109.3562,14.25133,28.73711,15.60113,?
1, 0.1039256, 0.1230234, 0.8365369, 0.8340625, 0.8317953,30.70576,61.72237,73.28867,81.17476,85.22749,94.39228,98.86029,14.41127,28.88639,15.62603,?
1, 0.09765756, 0.1477584, 0.8355435, 0.8343629, 0.8332496,35.45934,61.20245,72.57643,80.18336,92.0062,100.9558,104.8427,14.46957,28.96064,15.64044,?
